memberNumber,purchaseDate,itemName,Frequency
2932,2016-03-20,sausage,1
1711,2016-06-18,frankfurter,1
4291,2016-12-08,sausage,1
1143,2016-04-25,soda,1
4564,2016-07-08,rolls/buns,1
3337,2016-05-14,beef,1
4931,2016-05-04,whole milk,1
2623,2016-10-10,processed cheese,1
4581,2016-04-03,tropical fruit,1
2635,2016-06-11,frankfurter,1
1095,2016-10-30,packaged fruit/vegetables,1
2990,2016-05-23,whole milk,1
2426,2016-06-05,berries,1
4555,2016-11-07,citrus fruit,1
3635,2016-09-04,tropical fruit,1
3058,2016-05-18,hamburger meat,1
4391,2016-03-26,hamburger meat,1
1306,2016-06-23,whole milk,1
1024,2016-08-10,fish,1
1295,2016-07-23,frankfurter,1
1661,2016-06-01,packaged fruit/vegetables,1
4591,2016-05-15,pastry,1
3169,2016-06-14,other vegetables,1
3915,2016-05-21,misc. beverages,1
1127,2016-01-14,frankfurter,1
4828,2016-08-08,sparkling wine,1
3683,2016-06-10,specialty bar,1
1971,2016-09-18,sausage,1
3014,2016-11-11,curd cheese,1
3779,2016-09-15,frankfurter,1
2489,2016-05-04,whole milk,1
3564,2016-06-27,newspapers,1
4092,2016-09-30,berries,1
3221,2016-01-13,curd,1
1279,2016-09-06,tropical fruit,1
2581,2016-08-22,soda,1
2295,2016-02-25,rolls/buns,1
4760,2016-02-22,canned beer,1
3649,2016-01-16,canned beer,1
1075,2016-11-19,frankfurter,1
3987,2016-08-19,other vegetables,1
4106,2016-08-25,whole milk,1
4338,2016-06-24,whole milk,1
4166,2016-11-06,citrus fruit,1
1211,2016-03-10,frankfurter,1
3954,2016-01-21,frankfurter,1
3928,2016-07-18,butter milk,1
3827,2016-09-30,hamburger meat,1
4699,2016-02-08,pasta,1
4747,2016-06-08,other vegetables,1
3028,2016-06-09,sausage,1
2851,2016-03-16,rolls/buns,1
4417,2016-02-25,grapes,1
3822,2016-03-07,root vegetables,1
2288,2016-05-31,coffee,1
2184,2016-06-30,popcorn,1
4554,2016-08-27,whole milk,1
3361,2016-03-05,tropical fruit,1
2999,2016-04-17,beef,1
2614,2016-06-25,whole milk,1
4064,2016-06-05,frankfurter,1
3567,2016-10-04,tropical fruit,1
2587,2016-05-07,canned beer,1
3783,2016-06-17,finished products,1
1923,2016-02-14,beverages,1
4835,2016-02-19,hamburger meat,1
1514,2016-08-24,whole milk,1
3154,2016-06-22,finished products,1
1313,2016-12-25,other vegetables,1
2794,2016-07-18,ham,1
2359,2016-04-09,other vegetables,1
2238,2016-03-09,curd,1
3795,2016-01-17,bottled beer,1
3724,2016-11-26,curd,1
1152,2016-03-05,whole milk,1
4559,2016-03-16,whole milk,1
3922,2016-02-27,dessert,1
1709,2016-04-22,sausage,1
2219,2016-04-17,other vegetables,1
2206,2016-10-17,ham,1
1752,2016-04-06,other vegetables,1
3942,2016-11-10,other vegetables,1
3296,2016-08-17,soda,1
2257,2016-02-05,herbs,1
4313,2016-07-28,frankfurter,1
2001,2016-08-21,rolls/buns,1
2449,2016-07-08,curd,1
4914,2016-04-12,frankfurter,1
2764,2016-07-24,other vegetables,1
4187,2016-05-09,dog food,1
1392,2016-04-20,specialty bar,1
3427,2016-04-28,curd,1
1411,2016-02-20,frankfurter,1
3390,2016-11-14,soda,1
4787,2016-08-01,beef,1
3310,2016-01-17,canned beer,1
1782,2016-10-10,pork,1
3375,2016-04-26,frankfurter,1
2760,2016-01-07,sausage,1
4249,2016-09-13,canned beer,1
2904,2016-06-06,specialty chocolate,1
4090,2016-02-26,curd,1
3060,2016-07-05,canned beer,1
3768,2016-10-07,whole milk,1
1232,2016-01-21,rolls/buns,1
1360,2016-10-23,pork,1
1107,2016-10-01,citrus fruit,1
2865,2016-11-04,pot plants,1
2958,2016-06-14,rolls/buns,1
2448,2016-07-12,butter,1
1222,2016-09-24,condensed milk,1
2943,2016-06-20,sausage,1
2270,2016-08-11,whole milk,1
3812,2016-07-21,sausage,1
1482,2016-11-22,beverages,1
4720,2016-02-22,beverages,1
1344,2016-09-04,bottled water,1
2397,2016-10-04,newspapers,1
4182,2016-05-12,cleaner,1
4487,2016-07-10,sausage,1
3467,2016-12-24,newspapers,1
2443,2016-11-15,sausage,1
2749,2016-01-27,misc. beverages,1
4389,2016-04-13,white wine,1
1674,2016-12-04,sausage,1
4262,2016-10-16,meat,1
2082,2016-04-07,frankfurter,1
4494,2016-01-06,ice cream,1
2460,2016-09-28,canned beer,1
4509,2016-11-29,tropical fruit,1
2267,2016-07-03,meat,1
4891,2016-09-05,whole milk,1
3962,2016-09-20,sausage,1
4964,2016-07-18,frankfurter,1
2914,2016-11-30,meat,1
2808,2016-05-05,root vegetables,1
1085,2016-08-15,root vegetables,1
3808,2016-08-18,whole milk,1
4149,2016-01-07,citrus fruit,1
2331,2016-06-05,citrus fruit,1
4475,2016-04-03,other vegetables,1
2761,2016-04-25,citrus fruit,1
2620,2016-12-14,sausage,1
3206,2016-10-13,frankfurter,1
1226,2016-04-13,hard cheese,1
1395,2016-03-07,cream cheese,1
2465,2016-06-07,turkey,1
3572,2016-07-09,pork,1
4387,2016-05-08,whole milk,1
1555,2016-03-27,rolls/buns,1
1181,2016-11-16,sausage,1
2814,2016-05-11,ice cream,1
2794,2016-09-16,liquor,1
2912,2016-01-28,pip fruit,1
4667,2016-01-12,root vegetables,1
2235,2016-10-25,soda,1
2353,2016-05-02,soda,1
3449,2016-03-08,sausage,1
1058,2016-11-10,root vegetables,1
1027,2016-05-17,pork,1
3302,2016-05-22,pork,1
2229,2016-05-30,chocolate,1
2188,2016-08-15,fruit/vegetable juice,1
1547,2016-04-18,pickled vegetables,1
1649,2016-06-30,bottled water,1
3254,2016-09-10,frankfurter,1
2818,2016-11-07,tropical fruit,1
2703,2016-05-08,canned beer,1
3332,2016-01-31,root vegetables,1
2473,2016-07-01,meat,1
2810,2016-12-30,frankfurter,1
1033,2016-04-22,tropical fruit,1
4222,2016-05-27,tropical fruit,1
3679,2016-09-21,citrus fruit,1
2212,2016-08-27,hamburger meat,1
1507,2016-06-22,chicken,1
2870,2016-01-21,chicken,1
3429,2016-04-26,frankfurter,1
4148,2016-04-09,canned beer,1
2970,2016-12-30,turkey,1
2013,2016-08-30,packaged fruit/vegetables,1
3967,2016-05-30,pasta,1
2885,2016-05-15,citrus fruit,1
3935,2016-07-02,sausage,1
3283,2016-05-01,whole milk,1
3268,2016-11-06,canned beer,1
3677,2016-04-30,citrus fruit,1
3495,2016-06-27,liquor (appetizer),1
1410,2016-10-04,citrus fruit,1
2440,2016-06-06,sausage,1
4088,2016-01-13,chicken,1
2469,2016-09-23,hamburger meat,1
4229,2016-03-06,sausage,1
2728,2016-08-02,beef,1
4694,2016-01-25,citrus fruit,1
2836,2016-12-29,UHT-milk,1
1311,2016-02-12,candy,1
1760,2016-01-23,newspapers,1
3656,2016-03-02,beef,1
3720,2016-05-28,sausage,1
2996,2016-09-26,frankfurter,1
1949,2016-07-22,canned beer,1
4498,2016-02-11,bottled beer,1
2447,2016-12-28,onions,1
1952,2016-03-23,tropical fruit,1
4099,2016-01-27,bottled water,1
1804,2016-03-12,beef,1
1510,2016-05-16,sausage,1
2879,2016-04-18,hair spray,1
4899,2016-03-12,chicken,1
4326,2016-09-29,pork,1
1670,2016-05-17,ice cream,1
1117,2016-05-24,meat,1
1346,2016-04-03,other vegetables,1
1178,2016-11-15,bottled water,1
1649,2016-06-25,tropical fruit,1
4651,2016-06-21,photo/film,1
4243,2016-04-02,sausage,1
4429,2016-07-21,grapes,1
4645,2016-07-25,domestic eggs,1
4019,2016-07-24,rolls/buns,1
4459,2016-04-26,tropical fruit,1
3006,2016-12-27,chicken,1
1834,2016-09-17,frankfurter,1
3236,2016-07-04,berries,1
1765,2016-03-11,margarine,1
3855,2016-03-09,tropical fruit,1
4392,2016-11-28,ham,1
3330,2016-07-26,hamburger meat,1
1723,2016-09-02,yogurt,1
4110,2016-03-30,soda,1
2600,2016-01-28,yogurt,1
2946,2016-10-07,soda,1
2426,2016-09-08,bottled water,1
4170,2016-05-03,sausage,1
1109,2016-04-06,citrus fruit,1
3429,2016-01-04,shopping bags,1
2055,2016-02-04,newspapers,1
2480,2016-09-20,frankfurter,1
2441,2016-05-30,sausage,1
1054,2016-10-04,frankfurter,1
4818,2016-01-11,salt,1
3379,2016-01-21,oil,1
3939,2016-02-10,curd,1
1367,2016-08-05,other vegetables,1
1043,2016-01-10,citrus fruit,1
2231,2016-10-17,frankfurter,1
3235,2016-12-28,root vegetables,1
4554,2016-07-16,tropical fruit,1
3245,2016-01-24,beef,1
2996,2016-05-19,berries,1
2507,2016-01-05,canned beer,1
4186,2016-10-25,whipped/sour cream,1
3929,2016-04-28,root vegetables,1
3760,2016-11-22,whole milk,1
4928,2016-08-18,beef,1
4217,2016-12-18,frozen vegetables,1
1174,2016-02-11,rolls/buns,1
4103,2016-06-19,whole milk,1
4408,2016-03-13,whole milk,1
2588,2016-12-28,citrus fruit,1
2598,2016-11-11,pastry,1
1518,2016-12-11,frankfurter,1
2702,2016-04-08,tropical fruit,1
1001,2016-01-20,frankfurter,1
2270,2016-09-30,berries,1
2838,2016-11-10,rolls/buns,1
1683,2016-05-26,root vegetables,1
4040,2016-04-03,yogurt,1
3897,2016-08-23,other vegetables,1
2200,2016-03-11,berries,1
4073,2016-01-29,berries,1
3700,2016-04-19,other vegetables,1
3973,2016-06-10,rolls/buns,1
2715,2016-07-06,ham,1
3967,2016-11-23,whole milk,1
4002,2016-09-03,tropical fruit,1
2962,2016-03-01,bottled water,1
4340,2016-12-25,butter milk,1
2092,2016-11-06,newspapers,1
3143,2016-05-24,coffee,1
2209,2016-10-03,bottled beer,1
2816,2016-08-22,onions,1
2659,2016-06-01,hamburger meat,1
1588,2016-10-13,sausage,1
1144,2016-10-15,hard cheese,1
2166,2016-12-10,sausage,1
3300,2016-10-06,hamburger meat,1
3944,2016-01-03,onions,1
4979,2016-04-24,coffee,1
2630,2016-01-21,shopping bags,1
4240,2016-04-29,yogurt,1
2357,2016-07-08,soda,1
1743,2016-04-18,sliced cheese,1
2331,2016-02-15,sausage,1
1643,2016-04-28,yogurt,1
1291,2016-03-20,domestic eggs,1
3675,2016-07-04,whole milk,1
4134,2016-11-06,meat,1
1363,2016-06-21,dish cleaner,1
4212,2016-05-01,other vegetables,1
1500,2016-03-21,whole milk,1
2622,2016-10-01,other vegetables,1
3543,2016-03-18,tropical fruit,1
2525,2016-05-24,baking powder,1
1264,2016-10-12,specialty bar,1
3601,2016-07-06,ice cream,1
1771,2016-03-23,frankfurter,1
4694,2016-02-06,canned beer,1
1122,2016-12-21,bottled water,1
3507,2016-08-12,other vegetables,1
4524,2016-04-26,citrus fruit,1
3612,2016-09-27,sausage,1
3262,2016-06-11,domestic eggs,1
1897,2016-01-25,pork,1
1656,2016-10-30,specialty cheese,1
3953,2016-01-10,pork,1
1488,2016-06-21,beef,1
1652,2016-03-17,other vegetables,1
4953,2016-09-16,chicken,1
3445,2016-04-30,soda,1
3180,2016-03-15,whole milk,1
4934,2016-09-06,rolls/buns,1
2980,2016-04-27,bottled beer,1
2763,2016-02-13,root vegetables,1
4819,2016-03-04,pastry,1
3169,2016-07-02,berries,1
1850,2016-03-11,citrus fruit,1
4285,2016-12-29,whole milk,1
4366,2016-08-13,soda,1
2253,2016-06-16,bottled water,1
3398,2016-03-11,tropical fruit,1
2215,2016-07-22,salty snack,1
3737,2016-03-03,bottled water,1
2649,2016-11-28,chocolate,1
3203,2016-08-07,citrus fruit,1
4261,2016-02-16,bottled water,1
2435,2016-07-17,onions,1
2046,2016-08-21,dessert,1
4267,2016-02-11,beef,1
1086,2016-12-28,rolls/buns,1
1992,2016-01-04,beef,1
3622,2016-07-26,soda,1
4700,2016-06-27,coffee,1
2272,2016-05-16,rolls/buns,1
1663,2016-05-19,pork,1
2519,2016-06-03,soda,1
2639,2016-10-30,sausage,1
1466,2016-04-19,beef,1
4122,2016-10-23,whole milk,1
3598,2016-04-15,pork,1
3097,2016-08-10,berries,1
1873,2016-09-19,sausage,1
1537,2016-02-01,bottled water,1
3960,2016-03-25,tropical fruit,1
1136,2016-06-15,herbs,1
2453,2016-12-21,yogurt,1
1746,2016-02-15,Instant food products,1
3572,2016-06-09,specialty chocolate,1
3246,2016-06-24,coffee,1
3207,2016-11-26,bottled beer,1
1042,2016-02-12,beef,1
1176,2016-03-30,whole milk,1
3054,2016-02-23,frankfurter,1
4486,2016-12-02,frankfurter,1
1580,2016-12-05,other vegetables,1
1623,2016-11-02,frankfurter,1
4169,2016-11-24,whole milk,1
2254,2016-01-24,frankfurter,1
4095,2016-11-01,other vegetables,1
1264,2016-11-17,bottled water,1
3375,2016-01-06,pork,1
3242,2016-05-23,bottled water,1
2227,2016-06-07,other vegetables,1
3847,2016-12-03,hamburger meat,1
3897,2016-05-31,hamburger meat,1
1799,2016-09-27,shopping bags,1
2920,2016-04-26,whole milk,1
3713,2016-01-31,ice cream,1
4230,2016-11-05,pastry,1
1455,2016-03-18,ham,1
3687,2016-03-18,frankfurter,1
3869,2016-08-01,sausage,1
2988,2016-10-14,bottled beer,1
4242,2016-03-30,bottled water,1
4118,2016-12-24,meat,1
4996,2016-10-24,dessert,1
4489,2016-03-04,other vegetables,1
1199,2016-11-09,beverages,1
4108,2016-05-12,ham,1
3484,2016-06-05,specialty bar,1
1239,2016-08-31,brown bread,1
4839,2016-12-19,whole milk,1
4748,2016-05-07,rolls/buns,1
4426,2016-06-06,bottled beer,1
3571,2016-12-11,pet care,1
2852,2016-06-08,citrus fruit,1
3638,2016-05-26,pork,1
3635,2016-03-10,other vegetables,1
2723,2016-05-07,white wine,1
3495,2016-03-11,whole milk,1
2813,2016-11-16,pip fruit,1
2799,2016-09-02,sugar,1
4723,2016-05-22,tropical fruit,1
3313,2016-04-08,root vegetables,1
4748,2016-12-15,soda,1
2991,2016-02-16,whole milk,1
1483,2016-04-01,tropical fruit,1
3950,2016-10-01,white bread,1
1634,2016-01-16,brown bread,1
2694,2016-11-21,tropical fruit,1
2707,2016-10-18,domestic eggs,1
2813,2016-07-16,coffee,1
2276,2016-01-11,soda,1
4726,2016-02-06,whole milk,1
4353,2016-05-25,bottled beer,1
4017,2016-08-13,pork,1
1422,2016-08-21,other vegetables,1
2714,2016-03-15,yogurt,1
2769,2016-07-21,sparkling wine,1
4166,2016-04-30,bottled water,1
3614,2016-03-02,citrus fruit,1
4361,2016-09-05,hamburger meat,1
1922,2016-09-22,packaged fruit/vegetables,1
4728,2016-09-06,other vegetables,1
3646,2016-08-08,soda,1
1155,2016-08-10,whole milk,1
2119,2016-06-11,herbs,1
1602,2016-08-29,citrus fruit,1
1074,2016-06-24,misc. beverages,1
2256,2016-04-11,female sanitary products,1
1348,2016-09-17,soda,1
3806,2016-08-28,tropical fruit,1
1711,2016-06-06,soda,1
3959,2016-04-12,white bread,1
1590,2016-08-15,coffee,1
1962,2016-06-08,tropical fruit,1
1766,2016-01-21,pork,1
2551,2016-10-21,citrus fruit,1
2294,2016-09-23,frankfurter,1
4531,2016-05-29,frankfurter,1
2957,2016-04-12,frankfurter,1
4415,2016-01-27,other vegetables,1
1476,2016-08-26,yogurt,1
3978,2016-07-23,sausage,1
2062,2016-09-22,whole milk,1
3252,2016-06-28,pip fruit,1
3922,2016-06-24,whole milk,1
1491,2016-10-17,root vegetables,1
3526,2016-08-26,onions,1
4060,2016-12-11,specialty chocolate,1
1067,2016-04-08,hamburger meat,1
2840,2016-01-27,photo/film,1
4484,2016-11-27,rolls/buns,1
2353,2016-02-07,canned beer,1
3130,2016-02-18,canned beer,1
4273,2016-06-14,other vegetables,1
4565,2016-12-30,canned beer,1
2504,2016-08-14,curd,1
4127,2016-10-23,butter,1
2690,2016-04-01,other vegetables,1
4129,2016-09-22,whole milk,1
4511,2016-06-29,beef,1
1602,2016-08-04,sausage,1
4369,2016-02-01,soda,1
1302,2016-09-29,fruit/vegetable juice,1
3326,2016-04-30,rolls/buns,1
2066,2016-05-21,pip fruit,1
3483,2016-01-15,frozen vegetables,1
2840,2016-02-12,beverages,1
1807,2016-05-18,hamburger meat,1
2067,2016-08-12,root vegetables,1
3783,2016-02-17,canned beer,1
2884,2016-01-04,frozen vegetables,1
2908,2016-03-15,canned beer,1
1330,2016-07-10,newspapers,1
2293,2016-05-08,rolls/buns,1
3718,2016-05-20,hamburger meat,1
4338,2016-01-25,pip fruit,1
3486,2016-11-08,canned beer,1
3635,2016-09-04,grapes,1
2857,2016-02-18,root vegetables,1
3684,2016-08-13,citrus fruit,1
3120,2016-10-20,cling film/bags,1
3872,2016-03-19,frankfurter,1
2777,2016-04-07,whole milk,1
2702,2016-05-27,pork,1
4796,2016-06-29,chicken,1
1564,2016-10-23,sausage,1
2740,2016-07-02,specialty bar,1
1833,2016-04-13,whipped/sour cream,1
1757,2016-12-23,root vegetables,1
2975,2016-10-24,rolls/buns,1
4032,2016-08-10,other vegetables,1
3979,2016-09-16,citrus fruit,1
3772,2016-03-09,whole milk,1
4523,2016-10-28,frankfurter,1
4004,2016-04-19,coffee,1
2936,2016-06-08,ham,1
2394,2016-06-21,canned beer,1
4616,2016-08-16,canned beer,1
2362,2016-07-08,canned beer,1
3593,2016-11-03,pip fruit,1
4389,2016-08-27,pork,1
3206,2016-08-11,soap,1
4601,2016-01-04,pip fruit,1
4382,2016-11-13,beef,1
2718,2016-06-08,sausage,1
4691,2016-10-12,frozen chicken,1
3735,2016-11-28,soda,1
3900,2016-12-20,tropical fruit,1
4959,2016-06-30,other vegetables,1
1815,2016-08-30,beef,1
2454,2016-04-08,meat,1
4778,2016-01-15,meat,1
2289,2016-11-04,bottled water,1
1734,2016-07-13,rolls/buns,1
4019,2016-02-05,pastry,1
4605,2016-05-28,pork,1
4864,2016-11-14,pip fruit,1
4205,2016-02-22,beef,1
1862,2016-08-03,beef,1
1846,2016-07-19,rolls/buns,1
2019,2016-05-28,citrus fruit,1
2042,2016-11-19,meat,1
1768,2016-05-26,beverages,1
3847,2016-03-26,beef,1
3557,2016-07-20,ham,1
3975,2016-02-27,hamburger meat,1
4198,2016-03-18,beef,1
2580,2016-09-04,beef,1
3474,2016-08-25,root vegetables,1
1678,2016-11-14,citrus fruit,1
4254,2016-08-14,yogurt,1
4704,2016-08-21,tropical fruit,1
3343,2016-05-10,frankfurter,1
3812,2016-06-24,beef,1
3093,2016-03-13,shopping bags,1
2170,2016-06-18,canned beer,1
4867,2016-10-29,rolls/buns,1
3899,2016-03-23,other vegetables,1
2941,2016-10-03,hamburger meat,1
1958,2016-07-03,hamburger meat,1
2760,2016-08-08,frankfurter,1
4413,2016-08-03,bottled beer,1
1737,2016-05-15,tropical fruit,1
4202,2016-02-18,soda,1
1065,2016-11-13,frankfurter,1
3819,2016-06-28,chicken,1
2854,2016-02-08,coffee,1
4387,2016-09-16,whole milk,1
4530,2016-04-12,margarine,1
4191,2016-11-03,tropical fruit,1
3102,2016-12-04,meat,1
1946,2016-01-25,cream cheese,1
2156,2016-05-15,newspapers,1
1444,2016-12-16,rolls/buns,1
1699,2016-05-14,citrus fruit,1
4954,2016-05-04,whole milk,1
2207,2016-04-08,frankfurter,1
4826,2016-01-28,ham,1
2374,2016-06-08,frankfurter,1
1604,2016-08-18,sausage,1
4437,2016-11-29,domestic eggs,1
2319,2016-05-10,whole milk,1
3018,2016-06-27,rolls/buns,1
1195,2016-09-28,whole milk,1
1768,2016-09-04,sausage,1
3017,2016-09-28,curd,1
3384,2016-11-29,bottled water,1
1918,2016-01-30,beef,1
2524,2016-10-17,frankfurter,1
2798,2016-06-17,chicken,1
2096,2016-01-25,sausage,1
1489,2016-03-13,pork,1
1431,2016-07-20,yogurt,1
2747,2016-07-05,whole milk,1
3054,2016-03-22,frankfurter,1
2691,2016-10-09,beef,1
1752,2016-04-19,pip fruit,1
3027,2016-09-15,sausage,1
4452,2016-06-17,pastry,1
4129,2016-08-13,chicken,1
3523,2016-11-09,root vegetables,1
2128,2016-02-11,whole milk,1
4867,2016-02-03,detergent,1
4762,2016-10-30,rolls/buns,1
1632,2016-05-29,house keeping products,1
4018,2016-11-17,yogurt,1
1722,2016-07-13,tropical fruit,1
1438,2016-10-19,tropical fruit,1
3958,2016-10-27,curd,1
3292,2016-09-13,beef,1
2861,2016-02-23,whole milk,1
1757,2016-02-24,pork,1
1509,2016-12-30,other vegetables,1
2364,2016-05-11,rolls/buns,1
3084,2016-10-26,frankfurter,1
1850,2016-02-17,yogurt,1
1949,2016-03-17,whole milk,1
4740,2016-10-02,bottled water,1
1072,2016-10-23,frankfurter,1
4196,2016-07-09,rolls/buns,1
4814,2016-09-13,whole milk,1
1514,2016-02-28,rolls/buns,1
4584,2016-10-25,chicken,1
2751,2016-02-03,tropical fruit,1
4155,2016-09-24,sausage,1
4670,2016-10-11,sausage,1
4566,2016-07-27,frankfurter,1
2371,2016-08-30,UHT-milk,1
3442,2016-11-14,rolls/buns,1
3090,2016-09-27,canned beer,1
1457,2016-01-09,yogurt,1
4952,2016-04-08,whipped/sour cream,1
3165,2016-01-11,rolls/buns,1
2608,2016-09-19,rolls/buns,1
2040,2016-10-07,beverages,1
1327,2016-08-09,rolls/buns,1
3363,2016-01-07,rolls/buns,1
1731,2016-09-09,bottled beer,1
2760,2016-08-02,citrus fruit,1
3120,2016-01-14,bottled water,1
1332,2016-04-30,pastry,1
4530,2016-09-12,domestic eggs,1
3145,2016-02-23,beef,1
1099,2016-08-13,spread cheese,1
3188,2016-12-06,tropical fruit,1
3748,2016-10-13,packaged fruit/vegetables,1
4655,2016-03-31,whole milk,1
1827,2016-05-01,meat,1
2485,2016-02-17,onions,1
4683,2016-01-15,frankfurter,1
4358,2016-11-06,beef,1
1931,2016-10-09,beef,1
2490,2016-12-18,sausage,1
4842,2016-12-08,chicken,1
4616,2016-01-01,canned beer,1
2810,2016-09-22,sausage,1
2785,2016-10-18,tropical fruit,1
3591,2016-07-20,frankfurter,1
3896,2016-09-10,sausage,1
3842,2016-07-01,beef,1
2648,2016-07-10,tropical fruit,1
4688,2016-10-02,yogurt,1
3511,2016-08-26,frankfurter,1
3084,2016-09-04,bottled beer,1
3810,2016-05-07,grapes,1
4348,2016-02-26,beverages,1
3584,2016-03-10,curd,1
2620,2016-06-11,ice cream,1
2716,2016-01-18,sausage,1
3797,2016-08-10,other vegetables,1
2976,2016-06-02,dessert,1
2762,2016-11-07,decalcifier,1
3752,2016-04-25,canned beer,1
1659,2016-11-30,coffee,1
4109,2016-02-08,berries,1
1542,2016-08-07,pork,1
2068,2016-06-07,frankfurter,1
4509,2016-06-14,pork,1
4646,2016-06-14,frankfurter,1
2122,2016-04-07,frozen dessert,1
2730,2016-06-15,chicken,1
1800,2016-07-31,vinegar,1
1456,2016-09-18,rolls/buns,1
1138,2016-09-02,whole milk,1
4104,2016-06-12,pork,1
4985,2016-02-28,rolls/buns,1
3181,2016-12-13,grapes,1
3178,2016-10-21,frankfurter,1
1688,2016-11-10,finished products,1
1488,2016-11-28,onions,1
4975,2016-05-08,tropical fruit,1
4697,2016-01-09,other vegetables,1
4742,2016-01-11,ham,1
2640,2016-04-22,other vegetables,1
2548,2016-12-25,curd,1
2825,2016-12-29,sausage,1
2592,2016-07-04,canned beer,1
3622,2016-12-28,ham,1
4852,2016-08-21,packaged fruit/vegetables,1
1839,2016-09-03,meat,1
2413,2016-04-04,whole milk,1
2982,2016-06-14,canned beer,1
1981,2016-10-31,chicken,1
4440,2016-09-21,rolls/buns,1
3497,2016-11-24,pet care,1
3668,2016-12-18,root vegetables,1
4460,2016-05-28,pastry,1
1335,2016-01-16,frankfurter,1
4303,2016-12-07,chicken,1
3508,2016-02-28,frozen dessert,1
1959,2016-03-19,citrus fruit,1
3856,2016-03-06,sausage,1
3141,2016-07-29,root vegetables,1
4640,2016-09-25,root vegetables,1
4851,2016-05-25,bottled beer,1
3306,2016-09-22,frankfurter,1
2193,2016-04-08,root vegetables,1
1156,2016-09-13,berries,1
4596,2016-04-08,hamburger meat,1
1245,2016-10-08,tropical fruit,1
1515,2016-07-05,frankfurter,1
2564,2016-07-14,frankfurter,1
4527,2016-10-18,soda,1
2487,2016-07-09,ice cream,1
3420,2016-02-27,beef,1
4442,2016-11-28,whole milk,1
3164,2016-04-30,pork,1
