memberNumber,purchaseDate,itemName
1661,2016-06-01,packaged fruit/vegetables
4591,2016-05-15,pastry
3169,2016-06-14,other vegetables
3915,2016-05-21,misc. beverages
1127,2016-01-14,frankfurter
4828,2016-08-08,sparkling wine
3683,2016-06-10,specialty bar
1971,2016-09-18,sausage
3014,2016-11-11,curd cheese
3779,2016-09-15,frankfurter
2489,2016-05-04,whole milk
3564,2016-06-27,newspapers
4092,2016-09-30,berries
3221,2016-01-13,curd
1279,2016-09-06,tropical fruit
2581,2016-08-22,soda
2295,2016-02-25,rolls/buns
4760,2016-02-22,canned beer
3649,2016-01-16,canned beer
1075,2016-11-19,frankfurter
3987,2016-08-19,other vegetables
4106,2016-08-25,whole milk
4338,2016-06-24,whole milk
4166,2016-11-06,citrus fruit
1211,2016-03-10,frankfurter
3954,2016-01-21,frankfurter
3928,2016-07-18,butter milk
3827,2016-09-30,hamburger meat
4699,2016-02-08,pasta
4747,2016-06-08,other vegetables
3028,2016-06-09,sausage
2851,2016-03-16,rolls/buns
4417,2016-02-25,grapes
3822,2016-03-07,root vegetables
2288,2016-05-31,coffee
2184,2016-06-30,popcorn
4554,2016-08-27,whole milk
3361,2016-03-05,tropical fruit
2999,2016-04-17,beef
2614,2016-06-25,whole milk
4064,2016-06-05,frankfurter
3567,2016-10-04,tropical fruit
2587,2016-05-07,canned beer
3783,2016-06-17,finished products
1923,2016-02-14,beverages
4835,2016-02-19,hamburger meat
1514,2016-08-24,whole milk
3154,2016-06-22,finished products
1313,2016-12-25,other vegetables
2794,2016-07-18,ham
2359,2016-04-09,other vegetables
2238,2016-03-09,curd
3795,2016-01-17,bottled beer
3724,2016-11-26,curd
1152,2016-03-05,whole milk
4559,2016-03-16,whole milk
3922,2016-02-27,dessert
1709,2016-04-22,sausage
2219,2016-04-17,other vegetables
2206,2016-10-17,ham
1752,2016-04-06,other vegetables
3942,2016-11-10,other vegetables
3296,2016-08-17,soda
2257,2016-02-05,herbs
4313,2016-07-28,frankfurter
2001,2016-08-21,rolls/buns
2449,2016-07-08,curd
4914,2016-04-12,frankfurter
2764,2016-07-24,other vegetables
4187,2016-05-09,dog food
1392,2016-04-20,specialty bar
3427,2016-04-28,curd
1411,2016-02-20,frankfurter
3390,2016-11-14,soda
4787,2016-08-01,beef
3310,2016-01-17,canned beer
1782,2016-10-10,pork
3375,2016-04-26,frankfurter
2760,2016-01-07,sausage
4249,2016-09-13,canned beer
2904,2016-06-06,specialty chocolate
4090,2016-02-26,curd
3060,2016-07-05,canned beer
3768,2016-10-07,whole milk
1232,2016-01-21,rolls/buns
1360,2016-10-23,pork
1107,2016-10-01,citrus fruit
2865,2016-11-04,pot plants
2958,2016-06-14,rolls/buns
2448,2016-07-12,butter
1222,2016-09-24,condensed milk
2943,2016-06-20,sausage
2270,2016-08-11,whole milk
3812,2016-07-21,sausage
1482,2016-11-22,beverages
4720,2016-02-22,beverages
1344,2016-09-04,bottled water
2397,2016-10-04,newspapers
4182,2016-05-12,cleaner
4487,2016-07-10,sausage
3467,2016-12-24,newspapers
2443,2016-11-15,sausage
2749,2016-01-27,misc. beverages
4389,2016-04-13,white wine
1674,2016-12-04,sausage
4262,2016-10-16,meat
2082,2016-04-07,frankfurter
4494,2016-01-06,ice cream
2460,2016-09-28,canned beer
4509,2016-11-29,tropical fruit
2267,2016-07-03,meat
4891,2016-09-05,whole milk
3962,2016-09-20,sausage
4964,2016-07-18,frankfurter
2914,2016-11-30,meat
2808,2016-05-05,root vegetables
1085,2016-08-15,root vegetables
3808,2016-08-18,whole milk
4149,2016-01-07,citrus fruit
2331,2016-06-05,citrus fruit
4475,2016-04-03,other vegetables
2761,2016-04-25,citrus fruit
2620,2016-12-14,sausage
3206,2016-10-13,frankfurter
1226,2016-04-13,hard cheese
1395,2016-03-07,cream cheese
2465,2016-06-07,turkey
3572,2016-07-09,pork
4387,2016-05-08,whole milk
1555,2016-03-27,rolls/buns
1181,2016-11-16,sausage
2814,2016-05-11,ice cream
2794,2016-09-16,liquor
2912,2016-01-28,pip fruit
4667,2016-01-12,root vegetables
2235,2016-10-25,soda
2353,2016-05-02,soda
3449,2016-03-08,sausage
1058,2016-11-10,root vegetables
1027,2016-05-17,pork
3302,2016-05-22,pork
2229,2016-05-30,chocolate
2188,2016-08-15,fruit/vegetable juice
1547,2016-04-18,pickled vegetables
1649,2016-06-30,bottled water
3254,2016-09-10,frankfurter
2818,2016-11-07,tropical fruit
2703,2016-05-08,canned beer
3332,2016-01-31,root vegetables
2473,2016-07-01,meat
2810,2016-12-30,frankfurter
1033,2016-04-22,tropical fruit
4222,2016-05-27,tropical fruit
3679,2016-09-21,citrus fruit
2212,2016-08-27,hamburger meat
1507,2016-06-22,chicken
2870,2016-01-21,chicken
3429,2016-04-26,frankfurter
4148,2016-04-09,canned beer
2970,2016-12-30,turkey
2013,2016-08-30,packaged fruit/vegetables
3967,2016-05-30,pasta
2885,2016-05-15,citrus fruit
3935,2016-07-02,sausage
3283,2016-05-01,whole milk
3268,2016-11-06,canned beer
3677,2016-04-30,citrus fruit
3495,2016-06-27,liquor (appetizer)
1410,2016-10-04,citrus fruit
2440,2016-06-06,sausage
4088,2016-01-13,chicken
2469,2016-09-23,hamburger meat
4229,2016-03-06,sausage
2728,2016-08-02,beef
4694,2016-01-25,citrus fruit
2836,2016-12-29,UHT-milk
1311,2016-02-12,candy
1760,2016-01-23,newspapers
3656,2016-03-02,beef
3720,2016-05-28,sausage
2996,2016-09-26,frankfurter
1949,2016-07-22,canned beer
4498,2016-02-11,bottled beer
2447,2016-12-28,onions
1952,2016-03-23,tropical fruit
4099,2016-01-27,bottled water
1804,2016-03-12,beef
1510,2016-05-16,sausage
2879,2016-04-18,hair spray
4899,2016-03-12,chicken
4326,2016-09-29,pork
1670,2016-05-17,ice cream
1117,2016-05-24,meat
1346,2016-04-03,other vegetables
1178,2016-11-15,bottled water
1649,2016-06-25,tropical fruit
4651,2016-06-21,photo/film
4243,2016-04-02,sausage
4429,2016-07-21,grapes
4645,2016-07-25,domestic eggs
4019,2016-07-24,rolls/buns
4459,2016-04-26,tropical fruit
3006,2016-12-27,chicken
1834,2016-09-17,frankfurter
3236,2016-07-04,berries
1765,2016-03-11,margarine
3855,2016-03-09,tropical fruit
4392,2016-11-28,ham
3330,2016-07-26,hamburger meat
1723,2016-09-02,yogurt
4110,2016-03-30,soda
2600,2016-01-28,yogurt
2946,2016-10-07,soda
2426,2016-09-08,bottled water
4170,2016-05-03,sausage
1109,2016-04-06,citrus fruit
3429,2016-01-04,shopping bags
2055,2016-02-04,newspapers
2480,2016-09-20,frankfurter
2441,2016-05-30,sausage
1054,2016-10-04,frankfurter
4818,2016-01-11,salt
3379,2016-01-21,oil
3939,2016-02-10,curd
1367,2016-08-05,other vegetables
1043,2016-01-10,citrus fruit
2231,2016-10-17,frankfurter
3235,2016-12-28,root vegetables
4554,2016-07-16,tropical fruit
3245,2016-01-24,beef
2996,2016-05-19,berries
2507,2016-01-05,canned beer
4186,2016-10-25,whipped/sour cream
3929,2016-04-28,root vegetables
3760,2016-11-22,whole milk
4928,2016-08-18,beef
4217,2016-12-18,frozen vegetables
1174,2016-02-11,rolls/buns
4103,2016-06-19,whole milk
4408,2016-03-13,whole milk
2588,2016-12-28,citrus fruit
2598,2016-11-11,pastry
1518,2016-12-11,frankfurter
2702,2016-04-08,tropical fruit
1001,2016-01-20,frankfurter
2270,2016-09-30,berries
2838,2016-11-10,rolls/buns
1683,2016-05-26,root vegetables
4040,2016-04-03,yogurt
3897,2016-08-23,other vegetables
2200,2016-03-11,berries
4073,2016-01-29,berries
3700,2016-04-19,other vegetables
3973,2016-06-10,rolls/buns
2715,2016-07-06,ham
3967,2016-11-23,whole milk
4002,2016-09-03,tropical fruit
2962,2016-03-01,bottled water
4340,2016-12-25,butter milk
2092,2016-11-06,newspapers
3143,2016-05-24,coffee
2209,2016-10-03,bottled beer
2816,2016-08-22,onions
2659,2016-06-01,hamburger meat
1588,2016-10-13,sausage
1144,2016-10-15,hard cheese
2166,2016-12-10,sausage
3300,2016-10-06,hamburger meat
3944,2016-01-03,onions
4979,2016-04-24,coffee
2630,2016-01-21,shopping bags
4240,2016-04-29,yogurt
2357,2016-07-08,soda
1743,2016-04-18,sliced cheese
2331,2016-02-15,sausage
1643,2016-04-28,yogurt
1291,2016-03-20,domestic eggs
3675,2016-07-04,whole milk
4134,2016-11-06,meat
1363,2016-06-21,dish cleaner
4212,2016-05-01,other vegetables
1500,2016-03-21,whole milk
2622,2016-10-01,other vegetables
3543,2016-03-18,tropical fruit
2525,2016-05-24,baking powder
1264,2016-10-12,specialty bar
3601,2016-07-06,ice cream
1771,2016-03-23,frankfurter
4694,2016-02-06,canned beer
1122,2016-12-21,bottled water
3507,2016-08-12,other vegetables
4524,2016-04-26,citrus fruit
3612,2016-09-27,sausage
3262,2016-06-11,domestic eggs
1897,2016-01-25,pork
1656,2016-10-30,specialty cheese
3953,2016-01-10,pork
1488,2016-06-21,beef
1652,2016-03-17,other vegetables
4953,2016-09-16,chicken
3445,2016-04-30,soda
3180,2016-03-15,whole milk
4934,2016-09-06,rolls/buns
2980,2016-04-27,bottled beer
2763,2016-02-13,root vegetables
4819,2016-03-04,pastry
3169,2016-07-02,berries
1850,2016-03-11,citrus fruit
4285,2016-12-29,whole milk
4366,2016-08-13,soda
2253,2016-06-16,bottled water
3398,2016-03-11,tropical fruit
2215,2016-07-22,salty snack
3737,2016-03-03,bottled water
2649,2016-11-28,chocolate
3203,2016-08-07,citrus fruit
4261,2016-02-16,bottled water
2435,2016-07-17,onions
2046,2016-08-21,dessert
4267,2016-02-11,beef
1086,2016-12-28,rolls/buns
1992,2016-01-04,beef
3622,2016-07-26,soda
4700,2016-06-27,coffee
2272,2016-05-16,rolls/buns
1663,2016-05-19,pork
2519,2016-06-03,soda
2639,2016-10-30,sausage
1466,2016-04-19,beef
4122,2016-10-23,whole milk
3598,2016-04-15,pork
3097,2016-08-10,berries
1873,2016-09-19,sausage
1537,2016-02-01,bottled water
3960,2016-03-25,tropical fruit
1136,2016-06-15,herbs
2453,2016-12-21,yogurt
1746,2016-02-15,Instant food products
3572,2016-06-09,specialty chocolate
3246,2016-06-24,coffee
3207,2016-11-26,bottled beer
1042,2016-02-12,beef
1176,2016-03-30,whole milk
3054,2016-02-23,frankfurter
4486,2016-12-02,frankfurter
1580,2016-12-05,other vegetables
1623,2016-11-02,frankfurter
4169,2016-11-24,whole milk
2254,2016-01-24,frankfurter
4095,2016-11-01,other vegetables
1264,2016-11-17,bottled water
3375,2016-01-06,pork
3242,2016-05-23,bottled water
2227,2016-06-07,other vegetables
3847,2016-12-03,hamburger meat
3897,2016-05-31,hamburger meat
1799,2016-09-27,shopping bags
2920,2016-04-26,whole milk
3713,2016-01-31,ice cream
4230,2016-11-05,pastry
1455,2016-03-18,ham
3687,2016-03-18,frankfurter
3869,2016-08-01,sausage
2988,2016-10-14,bottled beer
4242,2016-03-30,bottled water
4118,2016-12-24,meat
4996,2016-10-24,dessert
4489,2016-03-04,other vegetables
1199,2016-11-09,beverages
4108,2016-05-12,ham
3484,2016-06-05,specialty bar
1239,2016-08-31,brown bread
4839,2016-12-19,whole milk
4748,2016-05-07,rolls/buns
4426,2016-06-06,bottled beer
3571,2016-12-11,pet care
2852,2016-06-08,citrus fruit
3638,2016-05-26,pork
3635,2016-03-10,other vegetables
2723,2016-05-07,white wine
3495,2016-03-11,whole milk
2813,2016-11-16,pip fruit
2799,2016-09-02,sugar
4723,2016-05-22,tropical fruit
3313,2016-04-08,root vegetables
4748,2016-12-15,soda
2991,2016-02-16,whole milk
1483,2016-04-01,tropical fruit
3950,2016-10-01,white bread
1634,2016-01-16,brown bread
2694,2016-11-21,tropical fruit
2707,2016-10-18,domestic eggs
2813,2016-07-16,coffee
2276,2016-01-11,soda
4726,2016-02-06,whole milk
4353,2016-05-25,bottled beer
4017,2016-08-13,pork
1422,2016-08-21,other vegetables
2714,2016-03-15,yogurt
2769,2016-07-21,sparkling wine
4166,2016-04-30,bottled water
3614,2016-03-02,citrus fruit
4361,2016-09-05,hamburger meat
1922,2016-09-22,packaged fruit/vegetables
4728,2016-09-06,other vegetables
3646,2016-08-08,soda
1155,2016-08-10,whole milk
2119,2016-06-11,herbs
1602,2016-08-29,citrus fruit
1074,2016-06-24,misc. beverages
2256,2016-04-11,female sanitary products
1348,2016-09-17,soda
3806,2016-08-28,tropical fruit
1711,2016-06-06,soda
3959,2016-04-12,white bread
1590,2016-08-15,coffee
1962,2016-06-08,tropical fruit
1766,2016-01-21,pork
2551,2016-10-21,citrus fruit
2294,2016-09-23,frankfurter
4531,2016-05-29,frankfurter
2957,2016-04-12,frankfurter
4415,2016-01-27,other vegetables
1476,2016-08-26,yogurt
3978,2016-07-23,sausage
2062,2016-09-22,whole milk
3252,2016-06-28,pip fruit
3922,2016-06-24,whole milk
1491,2016-10-17,root vegetables
3526,2016-08-26,onions
4060,2016-12-11,specialty chocolate
1067,2016-04-08,hamburger meat
2840,2016-01-27,photo/film
4484,2016-11-27,rolls/buns
2353,2016-02-07,canned beer
3130,2016-02-18,canned beer
4273,2016-06-14,other vegetables
4565,2016-12-30,canned beer
2504,2016-08-14,curd
4127,2016-10-23,butter
2690,2016-04-01,other vegetables
4129,2016-09-22,whole milk
4511,2016-06-29,beef
1602,2016-08-04,sausage
4369,2016-02-01,soda
1302,2016-09-29,fruit/vegetable juice
3326,2016-04-30,rolls/buns
2066,2016-05-21,pip fruit
3483,2016-01-15,frozen vegetables
2840,2016-02-12,beverages
1807,2016-05-18,hamburger meat
2067,2016-08-12,root vegetables
3783,2016-02-17,canned beer
2884,2016-01-04,frozen vegetables
2908,2016-03-15,canned beer
1330,2016-07-10,newspapers
2293,2016-05-08,rolls/buns
3718,2016-05-20,hamburger meat
4338,2016-01-25,pip fruit
3486,2016-11-08,canned beer
3635,2016-09-04,grapes
2857,2016-02-18,root vegetables
3684,2016-08-13,citrus fruit
3120,2016-10-20,cling film/bags
3872,2016-03-19,frankfurter
2777,2016-04-07,whole milk
2702,2016-05-27,pork
4796,2016-06-29,chicken
1564,2016-10-23,sausage
2740,2016-07-02,specialty bar
1833,2016-04-13,whipped/sour cream
1757,2016-12-23,root vegetables
2975,2016-10-24,rolls/buns
4032,2016-08-10,other vegetables
3979,2016-09-16,citrus fruit
3772,2016-03-09,whole milk
4523,2016-10-28,frankfurter
4004,2016-04-19,coffee
2936,2016-06-08,ham
2394,2016-06-21,canned beer
4616,2016-08-16,canned beer
2362,2016-07-08,canned beer
3593,2016-11-03,pip fruit
4389,2016-08-27,pork
3206,2016-08-11,soap
4601,2016-01-04,pip fruit
4382,2016-11-13,beef
2718,2016-06-08,sausage
4691,2016-10-12,frozen chicken
3735,2016-11-28,soda
3900,2016-12-20,tropical fruit
4959,2016-06-30,other vegetables
1815,2016-08-30,beef
2454,2016-04-08,meat
4778,2016-01-15,meat
2289,2016-11-04,bottled water
1734,2016-07-13,rolls/buns
4019,2016-02-05,pastry
4605,2016-05-28,pork
4864,2016-11-14,pip fruit
4205,2016-02-22,beef
1862,2016-08-03,beef
1846,2016-07-19,rolls/buns
2019,2016-05-28,citrus fruit
2042,2016-11-19,meat
1768,2016-05-26,beverages
3847,2016-03-26,beef
3557,2016-07-20,ham
3975,2016-02-27,hamburger meat
4198,2016-03-18,beef
2580,2016-09-04,beef
3474,2016-08-25,root vegetables
1678,2016-11-14,citrus fruit
4254,2016-08-14,yogurt
4704,2016-08-21,tropical fruit
3343,2016-05-10,frankfurter
3812,2016-06-24,beef
3093,2016-03-13,shopping bags
2170,2016-06-18,canned beer
4867,2016-10-29,rolls/buns
3899,2016-03-23,other vegetables
2941,2016-10-03,hamburger meat
1958,2016-07-03,hamburger meat
2760,2016-08-08,frankfurter
4413,2016-08-03,bottled beer
1737,2016-05-15,tropical fruit
4202,2016-02-18,soda
1065,2016-11-13,frankfurter
3819,2016-06-28,chicken
2854,2016-02-08,coffee
4387,2016-09-16,whole milk
4530,2016-04-12,margarine
4191,2016-11-03,tropical fruit
3102,2016-12-04,meat
1946,2016-01-25,cream cheese
2156,2016-05-15,newspapers
1444,2016-12-16,rolls/buns
1699,2016-05-14,citrus fruit
4954,2016-05-04,whole milk
2207,2016-04-08,frankfurter
4826,2016-01-28,ham
2374,2016-06-08,frankfurter
1604,2016-08-18,sausage
4437,2016-11-29,domestic eggs
2319,2016-05-10,whole milk
3018,2016-06-27,rolls/buns
1195,2016-09-28,whole milk
1768,2016-09-04,sausage
3017,2016-09-28,curd
3384,2016-11-29,bottled water
1918,2016-01-30,beef
2524,2016-10-17,frankfurter
2798,2016-06-17,chicken
2096,2016-01-25,sausage
1489,2016-03-13,pork
1431,2016-07-20,yogurt
2747,2016-07-05,whole milk
3054,2016-03-22,frankfurter
2691,2016-10-09,beef
1752,2016-04-19,pip fruit
3027,2016-09-15,sausage
4452,2016-06-17,pastry
4129,2016-08-13,chicken
3523,2016-11-09,root vegetables
2128,2016-02-11,whole milk
4867,2016-02-03,detergent
4762,2016-10-30,rolls/buns
1632,2016-05-29,house keeping products
4018,2016-11-17,yogurt
1722,2016-07-13,tropical fruit
1438,2016-10-19,tropical fruit
3958,2016-10-27,curd
3292,2016-09-13,beef
2861,2016-02-23,whole milk
1757,2016-02-24,pork
1509,2016-12-30,other vegetables
2364,2016-05-11,rolls/buns
3084,2016-10-26,frankfurter
1850,2016-02-17,yogurt
1949,2016-03-17,whole milk
4740,2016-10-02,bottled water
1072,2016-10-23,frankfurter
4196,2016-07-09,rolls/buns
4814,2016-09-13,whole milk
1514,2016-02-28,rolls/buns
4584,2016-10-25,chicken
2751,2016-02-03,tropical fruit
4155,2016-09-24,sausage
4670,2016-10-11,sausage
4566,2016-07-27,frankfurter
2371,2016-08-30,UHT-milk
3442,2016-11-14,rolls/buns
3090,2016-09-27,canned beer
1457,2016-01-09,yogurt
4952,2016-04-08,whipped/sour cream
3165,2016-01-11,rolls/buns
2608,2016-09-19,rolls/buns
2040,2016-10-07,beverages
1327,2016-08-09,rolls/buns
3363,2016-01-07,rolls/buns
1731,2016-09-09,bottled beer
2760,2016-08-02,citrus fruit
3120,2016-01-14,bottled water
1332,2016-04-30,pastry
4530,2016-09-12,domestic eggs
3145,2016-02-23,beef
1099,2016-08-13,spread cheese
3188,2016-12-06,tropical fruit
3748,2016-10-13,packaged fruit/vegetables
4655,2016-03-31,whole milk
1827,2016-05-01,meat
2485,2016-02-17,onions
4683,2016-01-15,frankfurter
4358,2016-11-06,beef
1931,2016-10-09,beef
2490,2016-12-18,sausage
4842,2016-12-08,chicken
4616,2016-01-01,canned beer
2810,2016-09-22,sausage
2785,2016-10-18,tropical fruit
3591,2016-07-20,frankfurter
3896,2016-09-10,sausage
3842,2016-07-01,beef
2648,2016-07-10,tropical fruit
4688,2016-10-02,yogurt
3511,2016-08-26,frankfurter
3084,2016-09-04,bottled beer
3810,2016-05-07,grapes
4348,2016-02-26,beverages
3584,2016-03-10,curd
2620,2016-06-11,ice cream
2716,2016-01-18,sausage
3797,2016-08-10,other vegetables
2976,2016-06-02,dessert
2762,2016-11-07,decalcifier
3752,2016-04-25,canned beer
1659,2016-11-30,coffee
4109,2016-02-08,berries
1542,2016-08-07,pork
2068,2016-06-07,frankfurter
4509,2016-06-14,pork
4646,2016-06-14,frankfurter
2122,2016-04-07,frozen dessert
2730,2016-06-15,chicken
1800,2016-07-31,vinegar
1456,2016-09-18,rolls/buns
1138,2016-09-02,whole milk
4104,2016-06-12,pork
4985,2016-02-28,rolls/buns
3181,2016-12-13,grapes
3178,2016-10-21,frankfurter
1688,2016-11-10,finished products
1488,2016-11-28,onions
4975,2016-05-08,tropical fruit
4697,2016-01-09,other vegetables
4742,2016-01-11,ham
2640,2016-04-22,other vegetables
2548,2016-12-25,curd
2825,2016-12-29,sausage
2592,2016-07-04,canned beer
3622,2016-12-28,ham
4852,2016-08-21,packaged fruit/vegetables
1839,2016-09-03,meat
2413,2016-04-04,whole milk
2982,2016-06-14,canned beer
1981,2016-10-31,chicken
4440,2016-09-21,rolls/buns
3497,2016-11-24,pet care
3668,2016-12-18,root vegetables
4460,2016-05-28,pastry
1335,2016-01-16,frankfurter
4303,2016-12-07,chicken
3508,2016-02-28,frozen dessert
1959,2016-03-19,citrus fruit
3856,2016-03-06,sausage
3141,2016-07-29,root vegetables
4640,2016-09-25,root vegetables
4851,2016-05-25,bottled beer
3306,2016-09-22,frankfurter
2193,2016-04-08,root vegetables
1156,2016-09-13,berries
4596,2016-04-08,hamburger meat
1245,2016-10-08,tropical fruit
1515,2016-07-05,frankfurter
2564,2016-07-14,frankfurter
4527,2016-10-18,soda
2487,2016-07-09,ice cream
3420,2016-02-27,beef
4442,2016-11-28,whole milk
3164,2016-04-30,pork
3601,2016-04-01,whole milk
3176,2016-05-25,bottled beer
2568,2016-07-22,pork
1856,2016-10-26,root vegetables
3859,2016-09-30,canned beer
1668,2016-08-21,citrus fruit
4499,2016-08-23,pip fruit
1753,2016-08-21,root vegetables
3829,2016-06-25,tropical fruit
4825,2016-01-08,beef
3694,2016-11-10,chicken
4147,2016-01-02,citrus fruit
2196,2016-10-09,meat
2229,2016-05-22,cream cheese
4724,2016-09-03,citrus fruit
3066,2016-10-11,specialty bar
1120,2016-06-08,meat
4769,2016-08-22,citrus fruit
4711,2016-09-17,frankfurter
2391,2016-06-22,citrus fruit
1216,2016-03-04,turkey
3154,2016-05-14,citrus fruit
3911,2016-07-30,sausage
3111,2016-10-15,newspapers
1385,2016-11-26,whole milk
1158,2016-03-21,yogurt
2733,2016-07-22,yogurt
4999,2016-12-26,bottled water
2882,2016-06-12,berries
2590,2016-06-25,packaged fruit/vegetables
4249,2016-08-04,frankfurter
3012,2016-05-03,nuts/prunes
1533,2016-11-07,citrus fruit
1667,2016-01-12,beef
4323,2016-05-13,whole milk
2087,2016-02-22,other vegetables
1853,2016-05-31,beef
2157,2016-10-29,fish
1136,2016-10-29,other vegetables
2049,2016-10-07,tropical fruit
3122,2016-05-02,coffee
2245,2016-05-15,sausage
4746,2016-10-18,meat
4224,2016-02-24,chicken
4219,2016-03-19,berries
2641,2016-01-01,frozen meals
3173,2016-07-25,whipped/sour cream
2191,2016-10-19,beef
4212,2016-04-07,chicken
1902,2016-12-01,chicken
1347,2016-03-27,beef
1578,2016-06-23,packaged fruit/vegetables
1264,2016-11-23,sugar
4632,2016-09-30,frankfurter
3452,2016-11-01,berries
4822,2016-02-10,bottled water
3987,2016-06-18,sausage
1672,2016-10-07,whole milk
4864,2016-12-01,ice cream
3368,2016-03-09,frankfurter
1283,2016-09-22,root vegetables
4428,2016-06-28,sausage
2577,2016-10-25,sausage
1973,2016-10-24,beef
3284,2016-01-23,fruit/vegetable juice
1905,2016-05-19,sugar
2226,2016-03-09,berries
1932,2016-09-04,yogurt
4506,2016-08-11,pork
1843,2016-11-27,bottled beer
3973,2016-07-27,curd
1651,2016-07-28,beef
3997,2016-10-12,pork
4796,2016-08-25,white bread
1245,2016-09-24,grapes
3579,2016-08-17,potato products
4387,2016-02-10,root vegetables
2496,2016-06-29,chicken
3590,2016-03-28,chicken
2890,2016-04-26,fish
1401,2016-01-27,canned beer
3297,2016-05-21,other vegetables
2867,2016-12-23,chicken
1365,2016-05-20,other vegetables
2355,2016-07-24,tropical fruit
1170,2016-03-19,whole milk
3554,2016-03-21,beef
4171,2016-01-26,sausage
3963,2016-09-17,whole milk
3076,2016-12-08,rolls/buns
1629,2016-05-17,citrus fruit
1366,2016-05-30,whole milk
3677,2016-07-29,pastry
2844,2016-05-21,tropical fruit
4509,2016-09-28,sliced cheese
3245,2016-05-11,soda
2294,2016-06-22,ham
1234,2016-11-20,salty snack
3001,2016-12-24,whole milk
3587,2016-08-05,root vegetables
2700,2016-01-22,soda
3838,2016-12-14,curd
4045,2016-12-22,bottled water
1858,2016-04-25,packaged fruit/vegetables
2280,2016-01-11,tropical fruit
2454,2016-04-06,ham
4437,2016-10-09,pork
1685,2016-03-30,beverages
